type,first_node_id,second_node_id,epoch
crash,fog22,fog25,25
resurrection,fog22,fog25,27
crash,cloud2,fog10,37
resurrection,cloud2,fog10,38
crash,cloud3,fog7,49
resurrection,cloud3,fog7,50
crash,fog19,fog21,87
crash,fog5,fog17,88
crash,fog4,fog11,93
crash,fog12,edge1,96
resurrection,fog12,edge1,99
resurrection,fog5,fog17,100
resurrection,fog19,fog21,105
crash,fog20,edge10,106
resurrection,fog4,fog11,106
resurrection,fog20,edge10,107
crash,fog14,edge9,117
resurrection,fog14,edge9,120
crash,fog10,fog18,134
resurrection,fog10,fog18,136
crash,fog1,fog9,153
resurrection,fog1,fog9,154
crash,fog7,fog18,189
resurrection,fog7,fog18,195
crash,fog23,edge4,200
resurrection,fog23,edge4,201
crash,fog15,fog25,204
crash,fog21,edge9,205
resurrection,fog15,fog25,205
resurrection,fog21,edge9,206
crash,fog2,edge6,254
resurrection,fog2,edge6,255
crash,fog19,edge2,263
resurrection,fog19,edge2,264
crash,fog24,edge9,307
crash,fog22,edge10,310
resurrection,fog24,edge9,319
resurrection,fog22,edge10,323
crash,edge4,edge5,399
resurrection,edge4,edge5,400
crash,fog13,fog20,403
resurrection,fog13,fog20,404
crash,fog15,fog22,446
resurrection,fog15,fog22,449
crash,cloud2,edge1,492
resurrection,cloud2,edge1,494
crash,fog14,edge3,512
resurrection,fog14,edge3,515
crash,cloud3,fog7,563
resurrection,cloud3,fog7,568
crash,fog13,edge8,582
resurrection,fog13,edge8,584
crash,fog18,edge5,611
resurrection,fog18,edge5,615
crash,fog7,edge1,619
crash,fog14,edge7,623
resurrection,fog14,edge7,629
resurrection,fog7,edge1,633
crash,cloud1,cloud3,666
resurrection,cloud1,cloud3,668
crash,fog16,fog23,688
resurrection,fog16,fog23,691
crash,fog3,fog25,704
resurrection,fog3,fog25,705
crash,cloud2,fog2,777
resurrection,cloud2,fog2,780
crash,fog2,fog10,785
resurrection,fog2,fog10,787
crash,fog20,edge2,789
resurrection,fog20,edge2,790
crash,fog1,fog13,801
resurrection,fog1,fog13,805
crash,fog5,edge3,809
resurrection,fog5,edge3,813
crash,cloud3,cloud4,820
resurrection,cloud3,cloud4,824
crash,fog8,fog9,849
resurrection,fog8,fog9,852
crash,fog6,edge10,910
resurrection,fog6,edge10,912
crash,cloud3,cloud4,933
resurrection,cloud3,cloud4,934
crash,edge1,edge7,941
resurrection,edge1,edge7,948
crash,fog16,edge3,949
crash,fog6,edge9,955
resurrection,fog6,edge9,958
resurrection,fog16,edge3,959
crash,fog11,edge4,975
resurrection,fog11,edge4,978
crash,fog19,fog24,983
resurrection,fog19,fog24,986
