type,node_id,epoch
crash,fog23,3
resurrection,fog23,4
crash,fog23,28
resurrection,fog23,30
crash,edge4,31
resurrection,edge4,32
crash,edge3,37
resurrection,edge3,38
crash,edge3,56
resurrection,edge3,57
crash,edge7,60
resurrection,edge7,61
crash,edge7,62
crash,edge6,63
resurrection,edge7,63
resurrection,edge6,64
crash,edge5,66
resurrection,edge5,68
crash,edge9,70
resurrection,edge9,71
crash,edge1,75
resurrection,edge1,76
crash,edge8,76
resurrection,edge8,77
crash,fog14,77
resurrection,fog14,82
crash,fog18,87
resurrection,fog18,92
crash,fog17,100
resurrection,fog17,101
crash,fog8,106
resurrection,fog8,109
crash,edge9,116
resurrection,edge9,117
crash,edge3,118
resurrection,edge3,119
crash,fog5,127
resurrection,fog5,128
crash,edge2,131
crash,fog18,131
resurrection,edge2,132
resurrection,fog18,135
crash,fog8,137
resurrection,fog8,138
crash,fog14,141
resurrection,fog14,143
crash,fog16,146
resurrection,fog16,147
crash,fog3,147
crash,fog11,150
resurrection,fog3,150
resurrection,fog11,152
crash,fog1,161
crash,edge4,165
resurrection,fog1,165
resurrection,edge4,166
crash,edge9,170
resurrection,edge9,171
crash,edge5,175
resurrection,edge5,176
crash,fog2,179
resurrection,fog2,181
crash,edge2,182
resurrection,edge2,183
crash,edge3,189
resurrection,edge3,190
crash,fog24,202
resurrection,fog24,204
crash,edge10,211
resurrection,edge10,212
crash,edge10,216
resurrection,edge10,217
crash,fog1,217
resurrection,fog1,218
crash,edge1,223
resurrection,edge1,224
crash,fog25,227
crash,edge4,228
resurrection,fog25,228
resurrection,edge4,229
crash,edge6,254
resurrection,edge6,255
crash,edge7,269
resurrection,edge7,270
crash,edge5,275
resurrection,edge5,276
crash,fog8,276
resurrection,fog8,277
crash,edge8,291
resurrection,edge8,293
crash,edge6,322
resurrection,edge6,323
crash,fog20,337
resurrection,fog20,338
crash,edge9,340
resurrection,edge9,341
crash,edge10,343
resurrection,edge10,344
crash,edge5,349
resurrection,edge5,350
crash,edge8,368
resurrection,edge8,369
crash,edge10,390
resurrection,edge10,392
crash,fog6,406
resurrection,fog6,410
crash,edge8,425
crash,edge7,426
resurrection,edge8,426
crash,fog25,426
resurrection,edge7,427
resurrection,fog25,427
crash,fog25,429
resurrection,fog25,431
crash,edge6,443
resurrection,edge6,444
crash,edge5,450
crash,edge4,451
resurrection,edge5,452
resurrection,edge4,453
crash,edge4,459
crash,edge1,460
resurrection,edge4,460
resurrection,edge1,461
crash,fog18,464
resurrection,fog18,471
crash,edge8,480
resurrection,edge8,481
crash,edge7,486
resurrection,edge7,487
crash,edge8,493
resurrection,edge8,494
crash,edge8,500
resurrection,edge8,501
crash,edge4,510
resurrection,edge4,512
crash,edge9,512
resurrection,edge9,513
crash,fog12,524
crash,fog2,526
resurrection,fog12,530
resurrection,fog2,531
crash,edge1,532
resurrection,edge1,533
crash,edge7,536
crash,edge10,537
resurrection,edge7,537
resurrection,edge10,538
crash,edge4,544
resurrection,edge4,545
crash,edge4,551
resurrection,edge4,552
crash,edge8,553
resurrection,edge8,554
crash,edge10,563
resurrection,edge10,564
crash,edge2,588
resurrection,edge2,589
crash,edge7,591
resurrection,edge7,592
crash,edge9,599
resurrection,edge9,600
crash,fog19,600
resurrection,fog19,601
crash,edge6,611
resurrection,edge6,612
crash,edge9,612
resurrection,edge9,613
crash,fog15,618
resurrection,fog15,619
crash,edge8,638
resurrection,edge8,639
crash,edge7,661
resurrection,edge7,662
crash,edge10,665
resurrection,edge10,666
crash,edge3,673
resurrection,edge3,674
crash,fog12,675
resurrection,fog12,676
crash,edge6,685
resurrection,edge6,686
crash,edge5,690
resurrection,edge5,691
crash,edge6,694
resurrection,edge6,696
crash,edge4,714
resurrection,edge4,715
crash,edge9,720
resurrection,edge9,721
crash,fog5,735
resurrection,fog5,736
crash,edge6,746
crash,edge10,747
resurrection,edge10,748
crash,fog11,748
resurrection,edge6,749
resurrection,fog11,750
crash,fog22,751
crash,edge2,755
resurrection,edge2,756
resurrection,fog22,756
crash,fog1,772
crash,edge4,777
resurrection,edge4,778
resurrection,fog1,778
crash,edge1,787
resurrection,edge1,788
crash,fog7,796
resurrection,fog7,798
crash,edge4,800
resurrection,edge4,801
crash,fog23,804
resurrection,fog23,807
crash,fog13,812
resurrection,fog13,813
crash,edge2,824
resurrection,edge2,826
crash,edge7,828
resurrection,edge7,829
crash,edge9,847
resurrection,edge9,848
crash,fog25,856
crash,edge5,857
resurrection,fog25,857
resurrection,edge5,859
crash,edge9,861
resurrection,edge9,862
crash,edge8,874
resurrection,edge8,875
crash,edge8,878
resurrection,edge8,879
crash,fog22,884
resurrection,fog22,885
crash,edge1,888
crash,fog17,888
resurrection,edge1,889
crash,edge2,889
resurrection,edge2,890
resurrection,fog17,890
crash,edge9,917
resurrection,edge9,918
crash,edge10,920
resurrection,edge10,921
crash,edge5,924
resurrection,edge5,925
crash,edge2,927
resurrection,edge2,928
crash,fog21,930
resurrection,fog21,931
crash,edge2,934
resurrection,edge2,935
crash,fog25,937
resurrection,fog25,939
crash,fog1,940
resurrection,fog1,943
crash,fog23,944
resurrection,fog23,945
crash,edge1,946
resurrection,edge1,947
crash,edge4,949
resurrection,edge4,950
crash,fog18,952
resurrection,fog18,953
crash,fog22,954
resurrection,fog22,956
crash,edge7,967
crash,fog8,967
resurrection,edge7,968
resurrection,fog8,969
crash,edge4,971
resurrection,edge4,973
crash,edge2,979
resurrection,edge2,980
crash,edge8,986
resurrection,edge8,988
crash,edge1,993
crash,fog9,993
resurrection,edge1,994
resurrection,fog9,995
crash,edge8,997
resurrection,edge8,998
